questions,lang
 gettysburg battle when,en
 statt fand schlacht,de
 batalla lugar tuvo,es
 battaglia luogo avuto,it
 déroula bataille gettysburg,fr
 slag gettysburg bij,nl
 music musicals list,en
 musik musicals liste,de
 musicales música elton,es
 musiche musicals elenca,it
 musique musicals avec,fr
 muziek lijst toen,nl
 muzică muzicalurile listează,ro
 lighthouse high colombo,en
 leuchtturm hoch colombo,de
 faro cómo colombo,es
 faro alto colombo,it
 phare hauteur colombo,fr
 vuurtoren hoog hoe,nl
 farul înalt cât,ro
 wife president lincoln,en
 us frau präsident,de
 americano mujer fué,es
 uniti moglie degli,it
 américain épouse était,fr
 amerikaanse vrouw president,nl
 host specials wildlife,en
 moderiert specials wildlife,de
 especiales anfitrión wildlife,es
 speciali presentatore degli,it
 présentateur specials wildlife,fr
 presentator specials wildlife,nl
 prezentatorul specials pentru,ro
 much cost pulp,en
 wieviel gekostet pulp,de
 cuanto costo pulp,es
 costato pulp fiction,it
 coûté pulp fiction,fr
 koste howeveel pulp,nl
 costat pulp fiction,ro
 brewery heineken city,en
 heinekenbrauerei stadt welcher,de
 fábrica cerveza esta,es
 heiniken birrificio trova,it
 brasserie heineken trouve,fr
 brouwerij zich bevindt,nl
 fabrica bere heineken,ro
 operation commence overlord,en
 durchgeführt operation overlord,de
 operación comenzó cuándo,es
 operatione iniziata overlord,it
 opération commencé overlord,fr
 vond plaats operatie,nl
 început operațiunea overlord,ro
 end chile route,en
 hört ruta 68,de
 chilena termina ruta,es
 cile termina route,it
 termine chilienne route,fr
 eindigt chili route,nl
 termină chile route,ro
 developed slack who,en
 entwickelt slack wer,de
 desarrolló slack quien,es
 sviluppato slack ha,it
 développeur slack qui,fr
 ontwikkelde slack wie,nl
 dezvoltat slack cine,ro
 married to chirac,en
 verheiratet chirac präsident,de
 estuvo casado chirac,es
 sposato chirac stato,it
 marrié avec chirac,fr
 getrouwd chirac met,nl
 președintele căsătorit chirac,ro
 from carver bruce,en
 woran gestorben carver,de
 murió carver bruce,es
 morto cosa carver,it
 cause décès carver,fr
 waaraan overleed carver,nl
 sea painted galilee,en
 sturm malte see,de
 tormenta pintó cristo,es
 tempesta sul dipinse,it
 tempête peint mer,fr
 schilderde storm christus,nl
 through cities flow,en
 städte durch fließt,de
 pasa ciudades río,es
 scorre attraverso fiume,it
 traversées villes weser,fr
 loopt steden weser,nl
 weserul străbate orașe,ro
 seats home stadium,en
 plätze heimstadium porto,de
 asientos estadio cuántos,es
 sedere posti stadio,it
 sièges stade nombre,fr
 plaatsen stadion porto,nl
 stadionul locuri porto,ro
 daughter married to,en
 wem tochter verheiratet,de
 hija casada está,es
 figlia sposata robert,it
 époux fille robert,fr
 dochter getrouwd robert,nl
 fiica căsătorită robert,ro
 by published viking,en
 verlegt bücher wurden,de
 publicados sido libros,es
 pubblicati libri furono,it
 lives publiés viking,fr
 uitgegeven boeken viking,nl
 cărți publicate viking,ro
 tall eve amazon,en
 groß eve amazon,de
 cómo eve amazon,es
 eve amazon quanto,it
 taille eve amazon,fr
 lang eve amazon,nl
 înălțime eve amazon,ro
 scream exhibits museum,en
 schrei ausgestellt museum,de
 grito expuesto museo,es
 urlo esposto museo,it
 exposé cri musée,fr
 schreeuw hangt museum,nl
 strigătul expus muzeu,ro
 piliers terre book,en
 säulen schrieb erde,de
 tierra quen pilares,es
 pilastri terra scritto,it
 piliers terre livre,fr
 pilaren aarde schreef,nl
 married james bond,en
 verheiratet james bond,de
 casado está james,es
 sposato james bond,it
 marié james bond,fr
 getrouwd james bond,nl
 căsătorit james bond,ro
 discovered ceres who,en
 entdeckte ceres wer,de
 descubrió ceres quién,es
 scoperto cerere ha,it
 cérès découvert qui,fr
 ontdekte ceres wie,nl
 descoperit ceres pe,ro
 cross river bridge,en
 überspannt fluss welchen,de
 cruza río bridge,es
 attraversa ponte fiume,it
 traversé eau cours,fr
 rivier overspant bridge,nl
 called tank frank,en
 genannt tank wurde,de
 llamado tank era,es
 venne chiamato tank,it
 surnommé tank était,fr
 genoemd werd tank,nl
 numit tank era,ro
 largest world country,en
 welt größte land,de
 mundo país más,es
 nazione mondo al,it
 monde pays grand,fr
 wereld ter grootse,nl
 lume cea țară,ro
 paris mayor who,en
 bürgermeister paris wer,de
 parís alcalde quién,es
 parigi sindaco chi,it
 maire paris qui,fr
 parijs burgemeester wie,nl
 parisului primarul cine,ro
 ice team coach,en
 trainer eishockeymannschaft ankaras,de
 hielo equipo entrenador,es
 squadra allenatore hockey,it
 équipe glace coach,fr
 ijshockey team coach,nl
 hochei gheață echipei,ro
 polynesia french capital,en
 polynesien französisch hauptstadt,de
 francesa polinesia alcalde,es
 francese della polinesia,it
 polynésie francaise maire,fr
 polynesië frans burgermeester,nl
 polineziei franceze capitaliei,ro
 awards win hofstadter,en
 preise hofstadter gewonnen,de
 premios ganado hofstadter,es
 premi vinto hofstadter,it
 gagnés hofstadter douglas,fr
 prijzen hofstadter gewonnen,nl
 premii câștigat hofstadter,ro
