questions,lang
How often did Jane Fonda marry?,en
Wie oft hat Jane Fonda geheiratet?,de
¿Cuántas veces ha estado casada Jane Fonda?,es
Quante volte si è sposata Jane Fonda?,it
Combien de fois s'est mariée Jane Fonda?,fr
Hoe vaak is Jane Fonda getrouwd?,nl
Cât de des s-a măritat Jane Fonda?,ro
Which books by Kerouac were published by Viking Press?,en
Welche Bücher von Kerouac wurden von Viking Press verlegt?,de
¿Qué libros de Kerouac han sido publicados por Viking Press?,es
Quali libri di Kerouac furono pubblicati da Viking Press?,it
Quels lives de Kerouac ont été publiés par Viking Press?,fr
Welke boeken van Jack Kerouac werden uitgegeven door Viking Press?,nl
Ce cărți de Kerouac a fost publicate de Viking Press?,ro
What is the official website of Tom Cruise?,en
Was ist die offizielle Website von Tom Cruise?,de
¿Cuál el la página de Web oficial de Tom Cruise?,es
Qual è il sito internet ufficiale di Tom Cruise?,it
Quel est le site web officiel de Tom Cruise?,fr
Wat is de officiële website van Tom Cruise?,nl
Care este website-ul oficial al lui Tom Cruise?,ro
Which U.S. state has the highest population density?,en
Welcher Staat in den USA hat die höchste Bevölkerungsdichte?,de
¿Que estado de los estados unidos de america tiene la mayor densidad de población?,es
Quale stato americano ha la densità di popolazione maggiore?,it
Quel état des Etats-Unis a la plus haute densité de population?,fr
Welke deelstaat van de Verenigde Staten heeft de hoogste bevolkingsdichtheid?,nl
Ce stat American are cea mai mare densitate a populației?,ro
Who created Wikipedia?,en
Wer hat Wikipedia gegründet?,de
¿Quién creó Wikipedia?,es
Chi ha creato Wikipedia?,it
Qui est le créateur de Wikipedia?,fr
Wie heeft Wikipedia opgericht?,nl
Cine a creat Wikipedia?,ro
What is the founding year of the brewery that produces Pilsner Urquell?,en
"In welchem Jahr wurde die Brauerei gegründet, die Pilsner Urquell herstellt?",de
¿En qué año fue fundada la cervecería que produce Pilsner Urquell?,es
In che anno è stato fondato il birrificio che produce la Pilsner Urquell?,it
Quelle est l'année de fondation de la brasserie qui produit Pilsner Urquell?,fr
Wanneer werd de brouwerij opgericht die Pilsner Urquell produceert?,nl
Care este anul înființării berăriei ce produce Pilsner Urquell?,ro
How many films did Hal Roach produce?,en
Wieviele Filme hat Hal Roach produziert?,de
¿Cuántas películas ha producido Hal Roach?,es
Quanti film ha prodotto Hal Roach?,it
Combien de films ont été produit par Hal Roach?,fr
Hoeveel films heeft Hal Roach geproduceerd?,nl
Câte filme a produs Hal Roach?,ro
In which country does the Nile start?,en
In welchem Land entspringt der Nil?,de
¿En qué país nace el Nilo?,es
In quale stato nasce il Nilo?,it
Dans quel pays commence le Nil?,fr
In welk land ontspringt de Nijl?,nl
